Epoch,Train Loss,Test Loss,Train Acc,Test Acc,Epoch Time (s)

Total Training Time (s),744.3764417171478
1,1.5547441600838585,1.314809522811015,0.43512,0.5298,41.99752187728882
2,1.242996024658613,1.1468363514371738,0.55344,0.5839,50.97573184967041
3,1.1217469010511627,1.0988763008907343,0.59942,0.609,55.75201368331909
4,1.031701830951759,1.084976378899471,0.6327,0.6143,31.869457483291626
5,0.9564382478099345,1.0564188862302502,0.65776,0.6303,32.66545248031616
6,0.8894545648561414,1.0062356378622115,0.68102,0.6486,31.26181936264038
7,0.8319129667928457,0.9914852096017,0.70374,0.6559,31.022861003875732
8,0.7836503949006806,1.0187374736852706,0.72104,0.6513,33.631954193115234
9,0.7330939568903135,0.9744425996853288,0.7373,0.6662,42.293619871139526
10,0.6894942940500997,1.0045375368397707,0.75314,0.673,49.939789056777954
11,0.647884818179833,0.9900007377004927,0.76874,0.6749,47.330729722976685
12,0.6108076370433163,1.004074187795068,0.78012,0.6805,32.85572862625122
13,0.570291873667856,1.0441443073521754,0.79588,0.6746,34.94163775444031
14,0.5390307679391273,1.025119346038551,0.81,0.6853,33.72674036026001
15,0.5127958508632372,1.0081385408237482,0.81658,0.6869,34.64209222793579
16,0.4881165620997129,1.0265009570273624,0.8248,0.6962,33.883957862854004
17,0.45621038784685036,1.1015289630859522,0.83596,0.6795,30.062424898147583
18,0.4369423412491598,1.0671376365764884,0.84388,0.6937,30.10546588897705
19,0.41534673110069825,1.0741119737837725,0.8524,0.6856,28.727704286575317
20,0.3991735548809971,1.0778039166122486,0.8574,0.6935,36.68973922729492
